# 08-11-2021,C3,360 nm, AV_ERR 10.55%
# T,G
# K,1/Ohm
290.02,1.26E-10
280.04,8.92E-11
269.98,5.92E-11
259.98,4.00E-11
249.97,2.62E-11
239.94,1.57E-11
229.97,9.42E-12
219.83,5.83E-12
209.84,3.30E-12
199.84,1.87E-12
189.83,9.50E-13
179.84,5.45E-13
169.84,3.54E-13
159.85,2.54E-13
149.86,1.64E-13
