# 2021.03.19,C2,320 nm,EV_ERR 9.34%
# T,G
# K,1/Ohm
290.13,1.02E-010
279.96,6.53E-011
269.93,4.70E-011
259.95,3.27E-011
249.90,2.18E-011
239.86,1.43E-011
229.92,8.65E-012
219.66,5.59E-012
209.65,3.44E-012
199.68,2.78E-012
189.68,1.86E-012
179.67,1.14E-012
169.66,7.50E-013
159.72,4.80E-013
149.79,3.20E-013
139.87,2.35E-013
129.90,1.99E-013
