# 2021.03.19,H1,330 nm,AV_ERR 7.67%
# T,G
# K,1/Ohm
280.02,1.39E-009
269.99,8.59E-010
259.98,6.26E-010
249.92,4.55E-010
239.87,3.25E-010
229.92,2.15E-010
219.64,1.50E-010
209.65,9.63E-011
199.64,6.00E-011
189.64,3.54E-011
179.64,2.05E-011
169.65,1.16E-011
159.65,6.32E-012
149.67,3.34E-012
139.64,1.74E-012
129.72,9.11E-013
119.74,5.47E-013
109.59,3.44E-013
99.75,2.19E-013
