# 2021.03.25,C1,230 nm,AV_ERR 12.73%
# T,G
# K,1/Ohm
290.11,1.19E-011
279.9,6.82E-012
269.91,4.46E-012
259.88,2.83E-012
249.91,1.79E-012
239.92,1.41E-012
229.95,6.21E-013
219.73,4.44E-013
209.8,2.94E-013
199.87,1.96E-013
189.89,1.63E-013
179.91,1.27E-013
169.91,1.16E-013
